sweep,parameter_1,value_1,unit_1,parameter_2,value_2,unit_2,tax_rate_tau,legal_coverage_lambda,compliance_chi,kappa_gross,fixed_transfer,net_public_resources,delta_demand_0,opportunity_index_1,minimum_resource_cost,technically_attainable,fiscally_feasible,demand_gate,opportunity_gate,joint_gate_pass
collection,tax_rate_tau,0.92,share of legally covered compliant base,admin_share_of_T,0.0,share of gross receipts,0.92,1.0,1.0,0.92,18.400000000000002,18.400000000000002,-0.9599999999999973,,,,,False,,
collection,tax_rate_tau,0.9400000000000001,share of legally covered compliant base,admin_share_of_T,0.0,share of gross receipts,0.9400000000000001,1.0,1.0,0.9400000000000001,18.8,18.8,-0.7199999999999989,,,,,False,,
collection,tax_rate_tau,0.96,share of legally covered compliant base,admin_share_of_T,0.0,share of gross receipts,0.96,1.0,1.0,0.96,19.2,19.2,-0.4799999999999969,,,,,False,,
collection,tax_rate_tau,0.98,share of legally covered compliant base,admin_share_of_T,0.0,share of gross receipts,0.98,1.0,1.0,0.98,19.6,19.6,-0.23999999999999844,,,,,False,,
collection,tax_rate_tau,1.0,share of legally covered compliant base,admin_share_of_T,0.0,share of gross receipts,1.0,1.0,1.0,1.0,20.0,20.0,0.0,,,,,True,,
collection,tax_rate_tau,0.0,share of legally covered compliant base,admin_share_of_T,0.05,share of gross receipts,0.0,1.0,1.0,0.0,0.0,0.0,-12.0,,,,,False,,
collection,tax_rate_tau,0.02,share of legally covered compliant base,admin_share_of_T,0.05,share of gross receipts,0.02,1.0,1.0,0.02,0.38,0.38,-11.758000000000001,,,,,False,,
collection,tax_rate_tau,0.04,share of legally covered compliant base,admin_share_of_T,0.05,share of gross receipts,0.04,1.0,1.0,0.04,0.76,0.76,-11.516000000000002,,,,,False,,
collection,tax_rate_tau,0.06,share of legally covered compliant base,admin_share_of_T,0.05,share of gross receipts,0.06,1.0,1.0,0.06,1.14,1.14,-11.274,,,,,False,,
collection,tax_rate_tau,0.08,share of legally covered compliant base,admin_share_of_T,0.05,share of gross receipts,0.08,1.0,1.0,0.08,1.52,1.52,-11.032,,,,,False,,
collection,tax_rate_tau,0.1,share of legally covered compliant base,admin_share_of_T,0.05,share of gross receipts,0.1,1.0,1.0,0.1,1.9,1.9,-10.790000000000001,,,,,False,,
collection,tax_rate_tau,0.12,share of legally covered compliant base,admin_share_of_T,0.05,share of gross receipts,0.12,1.0,1.0,0.12,2.28,2.28,-10.548,,,,,False,,
collection,tax_rate_tau,0.14,share of legally covered compliant base,admin_share_of_T,0.05,share of gross receipts,0.14,1.0,1.0,0.14,2.66,2.66,-10.306,,,,,False,,
collection,tax_rate_tau,0.16,share of legally covered compliant base,admin_share_of_T,0.05,share of gross receipts,0.16,1.0,1.0,0.16,3.04,3.04,-10.064,,,,,False,,
collection,tax_rate_tau,0.18,share of legally covered compliant base,admin_share_of_T,0.05,share of gross receipts,0.18,1.0,1.0,0.18,3.4199999999999995,3.4199999999999995,-9.822000000000003,,,,,False,,
collection,tax_rate_tau,0.2,share of legally covered compliant base,admin_share_of_T,0.05,share of gross receipts,0.2,1.0,1.0,0.2,3.8,3.8,-9.58,,,,,False,,
collection,tax_rate_tau,0.22,share of legally covered compliant base,admin_share_of_T,0.05,share of gross receipts,0.22,1.0,1.0,0.22,4.180000000000001,4.180000000000001,-9.338,,,,,False,,
collection,tax_rate_tau,0.24,share of legally covered compliant base,admin_share_of_T,0.05,share of gross receipts,0.24,1.0,1.0,0.24,4.56,4.56,-9.096000000000002,,,,,False,,
collection,tax_rate_tau,0.26,share of legally covered compliant base,admin_share_of_T,0.05,share of gross receipts,0.26,1.0,1.0,0.26,4.94,4.94,-8.853999999999997,,,,,False,,
collection,tax_rate_tau,0.28,share of legally covered compliant base,admin_share_of_T,0.05,share of gross receipts,0.28,1.0,1.0,0.28,5.32,5.32,-8.612,,,,,False,,
collection,tax_rate_tau,0.3,share of legally covered compliant base,admin_share_of_T,0.05,share of gross receipts,0.3,1.0,1.0,0.3,5.7,5.7,-8.370000000000001,,,,,False,,
collection,tax_rate_tau,0.32,share of legally covered compliant base,admin_share_of_T,0.05,share of gross receipts,0.32,1.0,1.0,0.32,6.08,6.08,-8.128,,,,,False,,
collection,tax_rate_tau,0.34,share of legally covered compliant base,admin_share_of_T,0.05,share of gross receipts,0.34,1.0,1.0,0.34,6.460000000000001,6.460000000000001,-7.885999999999999,,,,,False,,
collection,tax_rate_tau,0.36,share of legally covered compliant base,admin_share_of_T,0.05,share of gross receipts,0.36,1.0,1.0,0.36,6.839999999999999,6.839999999999999,-7.644000000000001,,,,,False,,
collection,tax_rate_tau,0.38,share of legally covered compliant base,admin_share_of_T,0.05,share of gross receipts,0.38,1.0,1.0,0.38,7.22,7.22,-7.402000000000001,,,,,False,,
collection,tax_rate_tau,0.4,share of legally covered compliant base,admin_share_of_T,0.05,share of gross receipts,0.4,1.0,1.0,0.4,7.6,7.6,-7.16,,,,,False,,
collection,tax_rate_tau,0.42,share of legally covered compliant base,admin_share_of_T,0.05,share of gross receipts,0.42,1.0,1.0,0.42,7.98,7.98,-6.917999999999999,,,,,False,,
collection,tax_rate_tau,0.44,share of legally covered compliant base,admin_share_of_T,0.05,share of gross receipts,0.44,1.0,1.0,0.44,8.360000000000001,8.360000000000001,-6.675999999999999,,,,,False,,
collection,tax_rate_tau,0.46,share of legally covered compliant base,admin_share_of_T,0.05,share of gross receipts,0.46,1.0,1.0,0.46,8.74,8.74,-6.433999999999999,,,,,False,,
collection,tax_rate_tau,0.48,share of legally covered compliant base,admin_share_of_T,0.05,share of gross receipts,0.48,1.0,1.0,0.48,9.12,9.12,-6.191999999999998,,,,,False,,
collection,tax_rate_tau,0.5,share of legally covered compliant base,admin_share_of_T,0.05,share of gross receipts,0.5,1.0,1.0,0.5,9.5,9.5,-5.949999999999999,,,,,False,,
collection,tax_rate_tau,0.52,share of legally covered compliant base,admin_share_of_T,0.05,share of gross receipts,0.52,1.0,1.0,0.52,9.88,9.88,-5.708,,,,,False,,
collection,tax_rate_tau,0.54,share of legally covered compliant base,admin_share_of_T,0.05,share of gross receipts,0.54,1.0,1.0,0.54,10.260000000000002,10.260000000000002,-5.465999999999998,,,,,False,,
collection,tax_rate_tau,0.56,share of legally covered compliant base,admin_share_of_T,0.05,share of gross receipts,0.56,1.0,1.0,0.56,10.64,10.64,-5.223999999999998,,,,,False,,
collection,tax_rate_tau,0.58,share of legally covered compliant base,admin_share_of_T,0.05,share of gross receipts,0.58,1.0,1.0,0.58,11.02,11.02,-4.982000000000001,,,,,False,,
collection,tax_rate_tau,0.6,share of legally covered compliant base,admin_share_of_T,0.05,share of gross receipts,0.6,1.0,1.0,0.6,11.4,11.4,-4.74,,,,,False,,
collection,tax_rate_tau,0.62,share of legally covered compliant base,admin_share_of_T,0.05,share of gross receipts,0.62,1.0,1.0,0.62,11.780000000000001,11.780000000000001,-4.497999999999998,,,,,False,,
collection,tax_rate_tau,0.64,share of legally covered compliant base,admin_share_of_T,0.05,share of gross receipts,0.64,1.0,1.0,0.64,12.16,12.16,-4.2559999999999985,,,,,False,,
collection,tax_rate_tau,0.66,share of legally covered compliant base,admin_share_of_T,0.05,share of gross receipts,0.66,1.0,1.0,0.66,12.540000000000001,12.540000000000001,-4.013999999999999,,,,,False,,
collection,tax_rate_tau,0.68,share of legally covered compliant base,admin_share_of_T,0.05,share of gross receipts,0.68,1.0,1.0,0.68,12.920000000000002,12.920000000000002,-3.772,,,,,False,,
collection,tax_rate_tau,0.7000000000000001,share of legally covered compliant base,admin_share_of_T,0.05,share of gross receipts,0.7000000000000001,1.0,1.0,0.7000000000000001,13.3,13.3,-3.5299999999999985,,,,,False,,
collection,tax_rate_tau,0.72,share of legally covered compliant base,admin_share_of_T,0.05,share of gross receipts,0.72,1.0,1.0,0.72,13.679999999999998,13.679999999999998,-3.288000000000003,,,,,False,,
collection,tax_rate_tau,0.74,share of legally covered compliant base,admin_share_of_T,0.05,share of gross receipts,0.74,1.0,1.0,0.74,14.06,14.06,-3.046000000000001,,,,,False,,
collection,tax_rate_tau,0.76,share of legally covered compliant base,admin_share_of_T,0.05,share of gross receipts,0.76,1.0,1.0,0.76,14.44,14.44,-2.8039999999999985,,,,,False,,
collection,tax_rate_tau,0.78,share of legally covered compliant base,admin_share_of_T,0.05,share of gross receipts,0.78,1.0,1.0,0.78,14.820000000000002,14.820000000000002,-2.5619999999999967,,,,,False,,
collection,tax_rate_tau,0.8,share of legally covered compliant base,admin_share_of_T,0.05,share of gross receipts,0.8,1.0,1.0,0.8,15.2,15.2,-2.320000000000001,,,,,False,,
collection,tax_rate_tau,0.8200000000000001,share of legally covered compliant base,admin_share_of_T,0.05,share of gross receipts,0.8200000000000001,1.0,1.0,0.8200000000000001,15.580000000000002,15.580000000000002,-2.0779999999999994,,,,,False,,
collection,tax_rate_tau,0.84,share of legally covered compliant base,admin_share_of_T,0.05,share of gross receipts,0.84,1.0,1.0,0.84,15.96,15.96,-1.8359999999999983,,,,,False,,
collection,tax_rate_tau,0.86,share of legally covered compliant base,admin_share_of_T,0.05,share of gross receipts,0.86,1.0,1.0,0.86,16.34,16.34,-1.5940000000000007,,,,,False,,
collection,tax_rate_tau,0.88,share of legally covered compliant base,admin_share_of_T,0.05,share of gross receipts,0.88,1.0,1.0,0.88,16.720000000000002,16.720000000000002,-1.3519999999999992,,,,,False,,
collection,tax_rate_tau,0.9,share of legally covered compliant base,admin_share_of_T,0.05,share of gross receipts,0.9,1.0,1.0,0.9,17.1,17.1,-1.1099999999999963,,,,,False,,
collection,tax_rate_tau,0.92,share of legally covered compliant base,admin_share_of_T,0.05,share of gross receipts,0.92,1.0,1.0,0.92,17.48,17.48,-0.8679999999999983,,,,,False,,
collection,tax_rate_tau,0.9400000000000001,share of legally covered compliant base,admin_share_of_T,0.05,share of gross receipts,0.9400000000000001,1.0,1.0,0.9400000000000001,17.86,17.86,-0.6259999999999989,,,,,False,,
collection,tax_rate_tau,0.96,share of legally covered compliant base,admin_share_of_T,0.05,share of gross receipts,0.96,1.0,1.0,0.96,18.24,18.24,-0.3839999999999977,,,,,False,,
collection,tax_rate_tau,0.98,share of legally covered compliant base,admin_share_of_T,0.05,share of gross receipts,0.98,1.0,1.0,0.98,18.62,18.62,-0.14199999999999624,,,,,False,,
collection,tax_rate_tau,1.0,share of legally covered compliant base,admin_share_of_T,0.05,share of gross receipts,1.0,1.0,1.0,1.0,19.0,19.0,0.10000000000000142,,,,,True,,
collection,tax_rate_tau,0.0,share of legally covered compliant base,admin_share_of_T,0.1,share of gross receipts,0.0,1.0,1.0,0.0,0.0,0.0,-12.0,,,,,False,,
collection,tax_rate_tau,0.02,share of legally covered compliant base,admin_share_of_T,0.1,share of gross receipts,0.02,1.0,1.0,0.02,0.36,0.36,-11.756000000000002,,,,,False,,
collection,tax_rate_tau,0.04,share of legally covered compliant base,admin_share_of_T,0.1,share of gross receipts,0.04,1.0,1.0,0.04,0.72,0.72,-11.512,,,,,False,,
collection,tax_rate_tau,0.06,share of legally covered compliant base,admin_share_of_T,0.1,share of gross receipts,0.06,1.0,1.0,0.06,1.08,1.08,-11.268,,,,,False,,
collection,tax_rate_tau,0.08,share of legally covered compliant base,admin_share_of_T,0.1,share of gross receipts,0.08,1.0,1.0,0.08,1.44,1.44,-11.024000000000001,,,,,False,,
collection,tax_rate_tau,0.1,share of legally covered compliant base,admin_share_of_T,0.1,share of gross receipts,0.1,1.0,1.0,0.1,1.8,1.8,-10.780000000000001,,,,,False,,
collection,tax_rate_tau,0.12,share of legally covered compliant base,admin_share_of_T,0.1,share of gross receipts,0.12,1.0,1.0,0.12,2.16,2.16,-10.535999999999998,,,,,False,,
collection,tax_rate_tau,0.14,share of legally covered compliant base,admin_share_of_T,0.1,share of gross receipts,0.14,1.0,1.0,0.14,2.5200000000000005,2.5200000000000005,-10.292,,,,,False,,
collection,tax_rate_tau,0.16,share of legally covered compliant base,admin_share_of_T,0.1,share of gross receipts,0.16,1.0,1.0,0.16,2.88,2.88,-10.048,,,,,False,,
collection,tax_rate_tau,0.18,share of legally covered compliant base,admin_share_of_T,0.1,share of gross receipts,0.18,1.0,1.0,0.18,3.2399999999999998,3.2399999999999998,-9.804000000000002,,,,,False,,
collection,tax_rate_tau,0.2,share of legally covered compliant base,admin_share_of_T,0.1,share of gross receipts,0.2,1.0,1.0,0.2,3.6,3.6,-9.559999999999999,,,,,False,,
collection,tax_rate_tau,0.22,share of legally covered compliant base,admin_share_of_T,0.1,share of gross receipts,0.22,1.0,1.0,0.22,3.9600000000000004,3.9600000000000004,-9.316,,,,,False,,
collection,tax_rate_tau,0.24,share of legally covered compliant base,admin_share_of_T,0.1,share of gross receipts,0.24,1.0,1.0,0.24,4.32,4.32,-9.072000000000001,,,,,False,,
collection,tax_rate_tau,0.26,share of legally covered compliant base,admin_share_of_T,0.1,share of gross receipts,0.26,1.0,1.0,0.26,4.68,4.68,-8.828,,,,,False,,
collection,tax_rate_tau,0.28,share of legally covered compliant base,admin_share_of_T,0.1,share of gross receipts,0.28,1.0,1.0,0.28,5.040000000000001,5.040000000000001,-8.583999999999998,,,,,False,,
collection,tax_rate_tau,0.3,share of legally covered compliant base,admin_share_of_T,0.1,share of gross receipts,0.3,1.0,1.0,0.3,5.4,5.4,-8.340000000000002,,,,,False,,
collection,tax_rate_tau,0.32,share of legally covered compliant base,admin_share_of_T,0.1,share of gross receipts,0.32,1.0,1.0,0.32,5.76,5.76,-8.096,,,,,False,,
collection,tax_rate_tau,0.34,share of legally covered compliant base,admin_share_of_T,0.1,share of gross receipts,0.34,1.0,1.0,0.34,6.120000000000001,6.120000000000001,-7.852,,,,,False,,
collection,tax_rate_tau,0.36,share of legally covered compliant base,admin_share_of_T,0.1,share of gross receipts,0.36,1.0,1.0,0.36,6.4799999999999995,6.4799999999999995,-7.608,,,,,False,,
collection,tax_rate_tau,0.38,share of legally covered compliant base,admin_share_of_T,0.1,share of gross receipts,0.38,1.0,1.0,0.38,6.84,6.84,-7.3640000000000025,,,,,False,,
collection,tax_rate_tau,0.4,share of legally covered compliant base,admin_share_of_T,0.1,share of gross receipts,0.4,1.0,1.0,0.4,7.2,7.2,-7.12,,,,,False,,
collection,tax_rate_tau,0.42,share of legally covered compliant base,admin_share_of_T,0.1,share of gross receipts,0.42,1.0,1.0,0.42,7.5600000000000005,7.5600000000000005,-6.8759999999999994,,,,,False,,
collection,tax_rate_tau,0.44,share of legally covered compliant base,admin_share_of_T,0.1,share of gross receipts,0.44,1.0,1.0,0.44,7.920000000000001,7.920000000000001,-6.632,,,,,False,,
collection,tax_rate_tau,0.46,share of legally covered compliant base,admin_share_of_T,0.1,share of gross receipts,0.46,1.0,1.0,0.46,8.280000000000001,8.280000000000001,-6.387999999999999,,,,,False,,
collection,tax_rate_tau,0.48,share of legally covered compliant base,admin_share_of_T,0.1,share of gross receipts,0.48,1.0,1.0,0.48,8.64,8.64,-6.143999999999998,,,,,False,,
collection,tax_rate_tau,0.5,share of legally covered compliant base,admin_share_of_T,0.1,share of gross receipts,0.5,1.0,1.0,0.5,9.0,9.0,-5.9,,,,,False,,
collection,tax_rate_tau,0.52,share of legally covered compliant base,admin_share_of_T,0.1,share of gross receipts,0.52,1.0,1.0,0.52,9.36,9.36,-5.6560000000000015,,,,,False,,
collection,tax_rate_tau,0.54,share of legally covered compliant base,admin_share_of_T,0.1,share of gross receipts,0.54,1.0,1.0,0.54,9.72,9.72,-5.411999999999999,,,,,False,,
collection,tax_rate_tau,0.56,share of legally covered compliant base,admin_share_of_T,0.1,share of gross receipts,0.56,1.0,1.0,0.56,10.080000000000002,10.080000000000002,-5.167999999999997,,,,,False,,
collection,tax_rate_tau,0.58,share of legally covered compliant base,admin_share_of_T,0.1,share of gross receipts,0.58,1.0,1.0,0.58,10.44,10.44,-4.924000000000001,,,,,False,,
collection,tax_rate_tau,0.6,share of legally covered compliant base,admin_share_of_T,0.1,share of gross receipts,0.6,1.0,1.0,0.6,10.8,10.8,-4.679999999999999,,,,,False,,
collection,tax_rate_tau,0.62,share of legally covered compliant base,admin_share_of_T,0.1,share of gross receipts,0.62,1.0,1.0,0.62,11.16,11.16,-4.436,,,,,False,,
collection,tax_rate_tau,0.64,share of legally covered compliant base,admin_share_of_T,0.1,share of gross receipts,0.64,1.0,1.0,0.64,11.52,11.52,-4.191999999999999,,,,,False,,
collection,tax_rate_tau,0.66,share of legally covered compliant base,admin_share_of_T,0.1,share of gross receipts,0.66,1.0,1.0,0.66,11.88,11.88,-3.9480000000000004,,,,,False,,
collection,tax_rate_tau,0.68,share of legally covered compliant base,admin_share_of_T,0.1,share of gross receipts,0.68,1.0,1.0,0.68,12.240000000000002,12.240000000000002,-3.7039999999999997,,,,,False,,
collection,tax_rate_tau,0.7000000000000001,share of legally covered compliant base,admin_share_of_T,0.1,share of gross receipts,0.7000000000000001,1.0,1.0,0.7000000000000001,12.600000000000001,12.600000000000001,-3.4599999999999973,,,,,False,,
collection,tax_rate_tau,0.72,share of legally covered compliant base,admin_share_of_T,0.1,share of gross receipts,0.72,1.0,1.0,0.72,12.959999999999999,12.959999999999999,-3.2160000000000006,,,,,False,,
collection,tax_rate_tau,0.74,share of legally covered compliant base,admin_share_of_T,0.1,share of gross receipts,0.74,1.0,1.0,0.74,13.32,13.32,-2.9719999999999995,,,,,False,,
collection,tax_rate_tau,0.76,share of legally covered compliant base,admin_share_of_T,0.1,share of gross receipts,0.76,1.0,1.0,0.76,13.68,13.68,-2.7279999999999993,,,,,False,,
collection,tax_rate_tau,0.78,share of legally covered compliant base,admin_share_of_T,0.1,share of gross receipts,0.78,1.0,1.0,0.78,14.040000000000001,14.040000000000001,-2.483999999999998,,,,,False,,
collection,tax_rate_tau,0.8,share of legally covered compliant base,admin_share_of_T,0.1,share of gross receipts,0.8,1.0,1.0,0.8,14.4,14.4,-2.2399999999999998,,,,,False,,
collection,tax_rate_tau,0.8200000000000001,share of legally covered compliant base,admin_share_of_T,0.1,share of gross receipts,0.8200000000000001,1.0,1.0,0.8200000000000001,14.760000000000002,14.760000000000002,-1.9959999999999989,,,,,False,,
collection,tax_rate_tau,0.84,share of legally covered compliant base,admin_share_of_T,0.1,share of gross receipts,0.84,1.0,1.0,0.84,15.120000000000001,15.120000000000001,-1.7519999999999984,,,,,False,,
collection,tax_rate_tau,0.86,share of legally covered compliant base,admin_share_of_T,0.1,share of gross receipts,0.86,1.0,1.0,0.86,15.479999999999999,15.479999999999999,-1.5080000000000016,,,,,False,,
collection,tax_rate_tau,0.88,share of legally covered compliant base,admin_share_of_T,0.1,share of gross receipts,0.88,1.0,1.0,0.88,15.840000000000002,15.840000000000002,-1.263999999999999,,,,,False,,
collection,tax_rate_tau,0.9,share of legally covered compliant base,admin_share_of_T,0.1,share of gross receipts,0.9,1.0,1.0,0.9,16.2,16.2,-1.0199999999999985,,,,,False,,
collection,tax_rate_tau,0.92,share of legally covered compliant base,admin_share_of_T,0.1,share of gross receipts,0.92,1.0,1.0,0.92,16.560000000000002,16.560000000000002,-0.7759999999999976,,,,,False,,
